"lon","lat","no2","campaign","code"
2.73399486089373,51.0659939885896,22,"facade","195252"
3.765565,51.20552,19.1,"facade","195267"
4.033597,50.92425,25.7,"facade","195276"
4.511268,51.1823,21.8,"facade","195285"
4.548875,51.18379,21.3,"facade","195291"
4.729365,50.93562,26.6,"facade","195297"
4.836659,51.18401,35.4,"facade","195312"
4.866962,51.26936,34.2,"facade","195321"
3.787876,51.08185,32.6,"facade","195324"
4.201439,51.07971,20.2,"facade","195327"
5.212687,50.76047,15,"facade","195339"
4.552899,51.06033,20.1,"facade","195342"
4.416871,51.2238,45.8,"facade","195354"
4.4041655359888,51.2062912953846,44.4,"facade","195357"
3.338177,50.81028,25.1,"facade","195366"
3.140999,51.31267,23.7,"facade","195387"
4.421686,50.92858,42,"facade","195432"
4.4975,51.15918,24,"facade","195441"
4.660114,50.85953,19.1,"facade","195450"
4.950188,50.84408,16.5,"facade","195465"
4.837115,50.98203,23.7,"facade","195489"
3.745308,51.03337,28.9,"facade","195528"
4.061941,51.14504,20.9,"facade","195540"
4.721664,50.88533,26.3,"facade","195552"
3.157646,50.93229,31.4,"facade","195564"
4.466319,51.36486,19.2,"facade","195612"
5.522397,50.97581,21.9,"facade","195636"
4.450427,51.28347,30.2,"facade","195669"
4.435576,51.21883,36,"facade","195708"
4.396295,51.17793,26.9,"facade","195714"
3.63799266106392,50.9653806439991,21.8,"facade","195717"
4.870496,51.31322,18,"facade","195729"
4.638816,51.08768,26.8,"facade","195735"
4.61593,50.74679,17.5,"facade","195738"
3.953721,50.94088,21.4,"facade","195750"
4.151638,51.17619,43.5,"facade","195753"
3.700811,51.06525,48.8,"facade","195783"
4.479095,51.03487,35.8,"facade","195807"
4.019431,50.79721,18.9,"facade","195834"
2.620639,50.85931,21.4,"facade","195870"
4.116348,50.99343,25.4,"facade","195879"
4.24844,50.73949,33.8,"facade","195894"
3.131752,50.94912,34.5,"facade","195951"
3.745032,51.06079,29.9,"facade","196002"
4.95362,51.33145,19.6,"facade","196020"
4.431422,51.20844,39.4,"facade","196047"
4.701901,50.86937,23.2,"facade","196053"
4.106981,50.89705,26.1,"facade","196068"
2.854992,50.866,24,"facade","196074"
4.466762,51.14717,26.2,"facade","196089"
3.36999,50.91189,23.5,"facade","196119"
3.200159,50.79069,28.3,"facade","196122"
3.626886,50.96701,23.8,"facade","196131"
4.534093,51.13894,19.1,"facade","196134"
3.997535,50.93972,20.6,"facade","196140"
4.132441,51.16042,35.3,"facade","196143"
4.534207,50.88563,22.1,"facade","196146"
4.144601,51.11408,34.5,"facade","196197"
4.687126,50.88223,35.7,"facade","196203"
4.78064,51.02025,20.1,"facade","196212"
3.685481,51.11996,20.7,"facade","196230"
3.556795,51.24567,20.5,"facade","196251"
3.975476,50.96834,21.8,"facade","196263"
3.612211,51.12594,18,"facade","196269"
4.537645,51.35508,18.5,"facade","196284"
5.307952,50.94848,20.8,"facade","196290"
5.309828,51.23196,21.8,"facade","196317"
4.168535,51.18792,21,"facade","196323"
4.211879,51.1256,28.8,"facade","196338"
5.70448,51.05506,16.9,"facade","196350"
5.488961,50.97645,27.2,"facade","196359"
3.565253,51.01809,19.6,"facade","196362"
4.174531,50.96854,18.9,"facade","196365"
4.228066,50.90342,19.8,"facade","196383"
4.277083,51.00141,22.2,"facade","196389"
3.12127,50.90066,22.3,"facade","196392"
4.459022,50.76722,21.4,"facade","196401"
3.476351,50.84927,16,"facade","196416"
4.995475,51.15849,24.7,"facade","196419"
3.716844,51.12012,19.7,"facade","196440"
4.928291,51.01203,18.5,"facade","196452"
3.762436,51.07322,21.8,"facade","196455"
3.735801,51.05682,47.3,"facade","196476"
3.704935,51.04059,27.2,"facade","196479"
4.977738,50.94194,17.2,"facade","196485"
4.739873,51.08264,19,"facade","196488"
4.521782,50.95932,20.4,"facade","196494"
4.979528,50.84465,16.3,"facade","196500"
3.626717,51.18523,25.3,"facade","196503"
5.030061,51.19561,15.7,"facade","196509"
3.187873,51.19953,20.9,"facade","196512"
4.360829,51.16137,37.6,"facade","196521"
4.718325,51.06965,23.9,"facade","196527"
3.702445,50.99918,21.7,"facade","196533"
3.147302,50.97608,19.9,"facade","196545"
4.66224,50.91127,21.8,"facade","196563"
4.475996,51.22327,29.9,"facade","196575"
