"code","pop_1","pop_5","pop_10","dist_coast","urban_1","natural_1","urban_5","natural_5","urban_10","natural_10"
"1387656",2048.6923456192,37906.9677838087,176015.190351367,70.8002597845677,0.530864197530864,0.0987654320987654,0.322284548699641,0.32075471698113,0.322243467176528,0.124665391969409
"192852",23300.8131713867,316326.8528862,655745.712928772,24.5740363589567,1,0,0.882202957674651,0.00152983171851096,0.66755895474827,0.0644996813256858
"192873",110.890998125076,9828.49176764488,93125.7689778805,7.23445359808249,0,0,0.137684854665986,0.00917899031106579,0.187125557680046,0.0406628425748888
"192876",5801.78865814209,51418.1518836021,144632.347647667,29.7263259483592,0.740740740740742,0,0.311065782763894,0.000509943906170321,0.250223072020385,0.0251115360101977
"192879",9004.25085449219,284437.89840126,629269.075542927,26.545322002594,1,0,0.826109127995916,0,0.651625239005753,0.057743785850861
"192894",1402.26003074646,40654.0342826843,214661.735070944,49.0691671380743,0.308641975308642,0.111111111111111,0.381438041815398,0.101988781234064,0.376418100701061,0.0762268961121741
"192909",1732.3552570343,38461.3237199783,211956.348618984,60.068046068327,0.753086419753088,0.0246913580246914,0.386537480877101,0.148903620601733,0.405098789037578,0.107711918419377
"192915",1650.79887676239,69240.8712136745,185041.399307132,69.6308758187018,0.567901234567902,0.0246913580246914,0.425803161652216,0.0535441101478836,0.333715742511135,0.132823454429574
"192918",2865.3161239624,89834.0197834969,262776.020992279,53.1673915400187,0.679012345679013,0,0.612442631310552,0.00101988781234064,0.450223072020365,0.00331421287444232
"192924",2944.18595123291,31316.7641904354,98646.0808238983,25.2810319290456,0.592592592592593,0,0.219275879653237,0.0290668026517083,0.186870618228166,0.0317399617590824
"192933",10430.7767524719,93184.3406682014,245498.220020533,45.610020173816,0.950617283950619,0,0.497705252422231,0.0418154003059663,0.376290630975121,0.066284257488847
"192951",1476.98366832733,29672.8005304337,133151.998068571,57.4406754308496,0.395061728395062,0.358024691358025,0.259051504334522,0.220295767465578,0.29228808158061,0.165965583173994
"192954",1386.12108278275,14691.440915823,58408.1047818661,26.6427105871105,0.308641975308642,0,0.0831208567057621,0.0479347271800101,0.122115997450607,0.0664117272147871
"192957",2821.46154022217,50132.5225627422,338170.787614584,71.5080633024565,0.864197530864199,0.0493827160493827,0.508924018357978,0.291177970423252,0.510516252390026,0.201784576163155
"192960",17432.3775100708,113382.672838688,200530.90964663,66.2260838924488,1,0,0.567567567567564,0.106068332483426,0.344805608667922,0.145952836201402
"192966",730.361137151718,20950.5561952591,90912.87509799,19.6979784833066,0.160493827160494,0.0740740740740741,0.158082610912799,0.0708822029576744,0.177820267686421,0.0653919694072664
"192981",1289.35069465637,21496.3485155106,174054.017573953,70.0358112787081,0.320987654320988,0.037037037037037,0.221315655277918,0.180010198878123,0.333715742511135,0.172594008922878
"192987",11932.4889068604,115711.974792004,202292.420327902,65.2973476479517,0.925925925925928,0.0123456790123457,0.59357470678225,0.0872004079551246,0.356660293180349,0.142383683875079
"192996",2535.21227359772,22359.2664763927,92180.2741160393,60.6973953988885,0.703703703703705,0,0.218765935747067,0.144824069352371,0.211599745060541,0.22651370299553
"193011",905.512602329254,19091.218755722,93481.789937973,11.4198863501453,0.160493827160494,0,0.141764405915349,0.0260071392146864,0.227533460803051,0.0442319949012113
"193023",26291.1656494141,324007.089599609,657209.775136471,23.7370015062046,1,0,0.853646098929113,0.0591534931157571,0.636201402166997,0.0489483747609947
"193050",212.704748511314,4808.60592663288,19466.35306108,18.1240846104617,0,0,0.014278429372769,0.00407955124936257,0.0231994901210963,0.00433397068196303
"193077",2216.79758930206,121527.681385517,324924.72151041,37.7807115853421,0.419753086419753,0,0.604283528811827,0.00968893421723611,0.452899936265107,0.0181007010834927
